,paramId,dataType,numberOfPoints,typeOfLevel,stepUnits,stepType,gridType,shortName,units,name,cfVarName,missingValue,totalNumber,NV,gridDefinitionDescription
10u,165,fc,1038240,surface,1,instant,regular_ll,10u,m s**-1,10 metre U wind component,u10,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
10v,166,fc,1038240,surface,1,instant,regular_ll,10v,m s**-1,10 metre V wind component,v10,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
2d,168,fc,1038240,surface,1,instant,regular_ll,2d,K,2 metre dewpoint temperature,d2m,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
2t,167,fc,1038240,surface,1,instant,regular_ll,2t,K,2 metre temperature,t2m,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
cape,59,fc,1038240,surface,1,instant,regular_ll,cape,J kg**-1,Convective available potential energy,cape,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
ci,31,fc,1038240,surface,1,instant,regular_ll,ci,(0 - 1),Sea ice area fraction,siconc,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
cp,143,fc,1038240,surface,1,instant,regular_ll,cp,m,Convective precipitation,cp,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
e,182,fc,1038240,surface,1,instant,regular_ll,e,m of water equivalent,Evaporation,e,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
ewss,180,fc,1038240,surface,1,instant,regular_ll,ewss,N m**-2 s,Time-integrated eastward turbulent surface stress,ewss,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
fal,243,fc,1038240,surface,1,instant,regular_ll,fal,(0 - 1),Forecast albedo,fal,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
iews,229,fc,1038240,surface,1,instant,regular_ll,iews,N m**-2,Instantaneous eastward turbulent surface stress,iews,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
inss,230,fc,1038240,surface,1,instant,regular_ll,inss,N m**-2,Instantaneous northward turbulent surface stress,inss,3.4028234663852886e+38,1,0,Latitude/Longitude Grid
