,10si,10u,10v,2d,2t,cape,ci,cprate,erate,ewssra,fal,iews,inss,lcc,lmlt,mlsprt,mn2t24,mrort,msdr,msdsrf,msdtrf,msl,mslhfl,msnsrf,msntrf,msror,msshfl,mssror,mtnsrf,mtntrf,mtsfr,mx2t24,nsssra,sd,skt,soira,sst,stl1,stl2,stl3,stl4,swvl1,swvl2,swvl3,swvl4,tcc,tciw,tclw,tcwv,tprate
paramId,207,165,166,168,167,59,31,172143,172182,172180,243,229,230,186,228008,172142,52,172205,172189,172169,172175,151,172147,172176,172177,172008,172146,172009,172178,172179,172144,51,172181,141,235,172212,34,139,170,183,236,39,40,41,42,164,79,78,137,172228
dataType,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean,fcmean
numberOfPoints,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240,1038240
typeOfLevel,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,surface,depthBelowLandLayer,depthBelowLandLayer,depthBelowLandLayer,depthBelowLandLayer,depthBelowLandLayer,depthBelowLandLayer,depthBelowLandLayer,depthBelowLandLayer,surface,surface,surface,surface,surface
stepUnits,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
stepType,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant,instant
gridType,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll,regular_ll
shortName,10si,10u,10v,2d,2t,cape,ci,cprate,erate,ewssra,fal,iews,inss,lcc,lmlt,mlsprt,mn2t24,mrort,msdr,msdsrf,msdtrf,msl,mslhfl,msnsrf,msntrf,msror,msshfl,mssror,mtnsrf,mtntrf,mtsfr,mx2t24,nsssra,sd,skt,soira,sst,stl1,stl2,stl3,stl4,swvl1,swvl2,swvl3,swvl4,tcc,tciw,tclw,tcwv,tprate
units,m s**-1,m s**-1,m s**-1,K,K,J kg**-1,(0 - 1),m s**-1,m of water s**-1,N m**-2,(0 - 1),N m**-2,N m**-2,(0 - 1),K,m s**-1,K,m s**-1,s s**-1,W m**-2,W m**-2,Pa,W m**-2,W m**-2,W m**-2,m of water equivalent s**-1,W m**-2,m of water equivalent s**-1,W m**-2,W m**-2,m of water equivalent s**-1,K,N m**-2,m of water equivalent,K,W m**-2,K,K,K,K,K,m**3 m**-3,m**3 m**-3,m**3 m**-3,m**3 m**-3,(0 - 1),kg m**-2,kg m**-2,kg m**-2,m s**-1
