,paramId,dataType,numberOfPoints,typeOfLevel,stepUnits,stepType,gridType,shortName,units,name,cfVarName,missingValue,totalNumber,NV,gridDefinitionDescription
cc,248,fc,1038240,isobaricInhPa,1,instant,regular_ll,cc,(0 - 1),Fraction of cloud cover,cc,3.4028234663852886e+38,0,0,Latitude/Longitude Grid
ciwc,247,fc,1038240,isobaricInhPa,1,instant,regular_ll,ciwc,kg kg**-1,Specific cloud ice water content,ciwc,3.4028234663852886e+38,0,0,Latitude/Longitude Grid
clwc,246,fc,1038240,isobaricInhPa,1,instant,regular_ll,clwc,kg kg**-1,Specific cloud liquid water content,clwc,3.4028234663852886e+38,0,0,Latitude/Longitude Grid
crwc,75,fc,1038240,isobaricInhPa,1,instant,regular_ll,crwc,kg kg**-1,Specific rain water content,crwc,3.4028234663852886e+38,0,0,Latitude/Longitude Grid
cswc,76,fc,1038240,isobaricInhPa,1,instant,regular_ll,cswc,kg kg**-1,Specific snow water content,cswc,3.4028234663852886e+38,0,0,Latitude/Longitude Grid
q,133,fc,1038240,isobaricInhPa,1,instant,regular_ll,q,kg kg**-1,Specific humidity,q,3.4028234663852886e+38,0,0,Latitude/Longitude Grid
t,130,fc,1038240,isobaricInhPa,1,instant,regular_ll,t,K,Temperature,t,3.4028234663852886e+38,0,0,Latitude/Longitude Grid
u,131,fc,1038240,isobaricInhPa,1,instant,regular_ll,u,m s**-1,U component of wind,u,3.4028234663852886e+38,0,0,Latitude/Longitude Grid
v,132,fc,1038240,isobaricInhPa,1,instant,regular_ll,v,m s**-1,V component of wind,v,3.4028234663852886e+38,0,0,Latitude/Longitude Grid
w,135,fc,1038240,isobaricInhPa,1,instant,regular_ll,w,Pa s**-1,Vertical velocity,w,3.4028234663852886e+38,0,0,Latitude/Longitude Grid
z,129,fc,1038240,isobaricInhPa,1,instant,regular_ll,z,m**2 s**-2,Geopotential,z,3.4028234663852886e+38,0,0,Latitude/Longitude Grid
~,120,fc,1038240,isobaricInhPa,1,instant,regular_ll,~,~,Experimental product,p120.128,3.4028234663852886e+38,0,0,Latitude/Longitude Grid
